timestamp,energy_kwh
2022-12-31 22:00:00,7.69
2022-12-31 23:00:00,6.23
2023-01-01 00:00:00,7.53
2023-01-01 01:00:00,7.42
2023-01-01 02:00:00,8.11
2023-01-01 03:00:00,6.65
2023-01-01 04:00:00,21.58
2023-01-01 05:00:00,20.80
2023-01-01 06:00:00,23.19
2023-01-01 07:00:00,13.10
2023-01-01 08:00:00,14.73
2023-01-01 09:00:00,13.82
2023-01-01 10:00:00,12.78
2023-01-01 11:00:00,12.03
2023-01-01 12:00:00,15.20
2023-01-01 13:00:00,15.45
2023-01-01 14:00:00,12.26
2023-01-01 15:00:00,28.20
2023-01-01 16:00:00,28.26
2023-01-01 17:00:00,26.54
2023-01-01 18:00:00,27.49
2023-01-01 19:00:00,29.19
2023-01-01 20:00:00,11.96
2023-01-01 21:00:00,9.77
2023-01-01 22:00:00,6.82
2023-01-01 23:00:00,6.62
2023-01-02 00:00:00,5.31
2023-01-02 01:00:00,6.39
2023-01-02 02:00:00,6.43
2023-01-02 03:00:00,6.52
2023-01-02 04:00:00,15.67
2023-01-02 05:00:00,16.61
2023-01-02 06:00:00,18.67
2023-01-02 07:00:00,11.56
2023-01-02 08:00:00,10.30
2023-01-02 09:00:00,10.52
2023-01-02 10:00:00,12.94
2023-01-02 11:00:00,11.07
2023-01-02 12:00:00,12.61
2023-01-02 13:00:00,11.71
2023-01-02 14:00:00,12.47
2023-01-02 15:00:00,20.75
2023-01-02 16:00:00,20.07
2023-01-02 17:00:00,20.37
2023-01-02 18:00:00,23.63
2023-01-02 19:00:00,20.03
2023-01-02 20:00:00,9.72
2023-01-02 21:00:00,8.26
2023-01-02 22:00:00,6.57
2023-01-02 23:00:00,5.11
2023-01-03 00:00:00,6.95
2023-01-03 01:00:00,5.55
2023-01-03 02:00:00,6.65
2023-01-03 03:00:00,6.87
2023-01-03 04:00:00,17.02
2023-01-03 05:00:00,15.25
2023-01-03 06:00:00,16.29
2023-01-03 07:00:00,12.48
2023-01-03 08:00:00,12.72
2023-01-03 09:00:00,12.56
2023-01-03 10:00:00,12.69
2023-01-03 11:00:00,11.83
2023-01-03 12:00:00,11.62
2023-01-03 13:00:00,11.08
2023-01-03 14:00:00,12.14
2023-01-03 15:00:00,23.60
2023-01-03 16:00:00,21.07
2023-01-03 17:00:00,22.06
2023-01-03 18:00:00,21.00
2023-01-03 19:00:00,20.23
2023-01-03 20:00:00,10.70
2023-01-03 21:00:00,10.95
2023-01-03 22:00:00,6.59
2023-01-03 23:00:00,5.07
2023-01-04 00:00:00,6.30
2023-01-04 01:00:00,5.23
2023-01-04 02:00:00,6.25
2023-01-04 03:00:00,6.91
2023-01-04 04:00:00,17.40
2023-01-04 05:00:00,18.14
2023-01-04 06:00:00,18.29
2023-01-04 07:00:00,12.46
2023-01-04 08:00:00,10.89
2023-01-04 09:00:00,10.80
2023-01-04 10:00:00,11.03
2023-01-04 11:00:00,11.41
2023-01-04 12:00:00,10.38
2023-01-04 13:00:00,12.22
2023-01-04 14:00:00,12.23
2023-01-04 15:00:00,21.33
2023-01-04 16:00:00,24.12
2023-01-04 17:00:00,23.79
2023-01-04 18:00:00,24.98
2023-01-04 19:00:00,20.64
2023-01-04 20:00:00,8.80
2023-01-04 21:00:00,10.30
2023-01-04 22:00:00,5.86
2023-01-04 23:00:00,6.51
2023-01-05 00:00:00,6.23
2023-01-05 01:00:00,6.51
2023-01-05 02:00:00,6.99
2023-01-05 03:00:00,5.69
2023-01-05 04:00:00,16.79
2023-01-05 05:00:00,15.56
2023-01-05 06:00:00,18.86
2023-01-05 07:00:00,12.92
2023-01-05 08:00:00,12.16
2023-01-05 09:00:00,12.26
2023-01-05 10:00:00,10.49
2023-01-05 11:00:00,10.00
2023-01-05 12:00:00,12.92
2023-01-05 13:00:00,12.29
2023-01-05 14:00:00,12.61
2023-01-05 15:00:00,21.66
2023-01-05 16:00:00,23.86
